                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.303,                 5.3028,                 1.5919,                 0.0011,                0.33673,                0.00081,                0.00029,                 2.2846,                 4.6658,                 1.4796,                0.07015,              0.0033167,              0.0033167
                      1,                 2.0694,                 4.0626,                 1.3416,                 0.0023,                0.70408,                 0.0026,                0.00099,                  2.048,                 4.0841,                 1.3705,               0.040124,              0.0066237,              0.0066237
                      2,                 1.9316,                 3.4087,                 1.3257,                0.49344,                0.36224,                0.34383,                0.15104,                 2.0223,                 3.3024,                 1.5409,               0.010071,              0.0099043,              0.0099043
                      3,                 1.9092,                 2.8442,                 1.3662,                0.72785,                0.35479,                0.42083,                0.19012,                 1.9825,                 3.2023,                 1.3281,              0.0098812,              0.0098812,              0.0098812
                      4,                 1.8542,                 2.6559,                 1.3087,                0.84401,                0.38776,                0.43032,                0.18523,                 1.9529,                 2.9787,                 1.3686,              0.0098812,              0.0098812,              0.0098812
                      5,                 1.7663,                 2.4208,                 1.2163,                0.80158,                 0.5051,                0.59539,                0.23099,                 1.8775,                 2.2101,                 1.4051,              0.0098416,              0.0098416,              0.0098416
                      6,                 1.7826,                 2.1506,                  1.247,                0.72332,                0.45408,                0.53579,                0.24232,                 1.8642,                 2.2886,                 1.3543,               0.009802,               0.009802,               0.009802
                      7,                 1.7377,                 2.0858,                 1.2046,                0.60531,                0.53061,                 0.5232,                0.19954,                 1.9796,                  2.118,                 1.3818,              0.0097624,              0.0097624,              0.0097624
                      8,                 1.7559,                 2.0032,                 1.2231,                 0.6839,                    0.5,                 0.5279,                0.24012,                 1.8125,                 2.2309,                 1.3171,              0.0097228,              0.0097228,              0.0097228
                      9,                 1.8461,                 1.9679,                 1.2453,                0.61253,                 0.5102,                0.51142,                0.21523,                 1.7805,                 2.8707,                 1.2132,              0.0096832,              0.0096832,              0.0096832
                     10,                 1.7353,                 1.7511,                 1.2049,                0.77648,                0.62245,                 0.6511,                0.28638,                 1.7463,                 1.6064,                 1.2561,              0.0096436,              0.0096436,              0.0096436
                     11,                 1.7997,                 1.6616,                 1.2539,                0.74512,                 0.5966,                0.60514,                0.26886,                 1.8613,                 1.7179,                 1.3081,               0.009604,               0.009604,               0.009604
                     12,                 1.6819,                 1.6202,                 1.2065,                0.76468,                0.64661,                0.68109,                0.33927,                 1.7128,                 2.6786,                 1.2421,              0.0095644,              0.0095644,              0.0095644
                     13,                 1.7058,                 1.7027,                 1.1448,                0.77669,                0.53571,                 0.6429,                 0.3072,                 1.8024,                 1.6955,                 1.1948,              0.0095248,              0.0095248,              0.0095248
                     14,                 1.8171,                  1.628,                 1.1721,                0.77936,                0.63076,                0.68746,                0.33332,                   1.79,                 1.4513,                 1.2555,              0.0094852,              0.0094852,              0.0094852
                     15,                  1.697,                 1.3714,                 1.1529,                0.79957,                0.61062,                0.65756,                0.26824,                 1.8914,                 1.7073,                 1.2691,              0.0094456,              0.0094456,              0.0094456
                     16,                 1.6716,                 1.3147,                 1.1656,                0.75971,                0.64524,                0.69522,                0.33644,                 1.7593,                 1.3948,                 1.1738,               0.009406,               0.009406,               0.009406
                     17,                 1.7343,                 1.4741,                 1.1534,                0.64471,                0.66659,                0.62182,                0.25358,                 1.8361,                  1.809,                 1.2256,              0.0093664,              0.0093664,              0.0093664
